   -0.549059E-14     0.294085E-05    -0.353548E-06    -0.128248E+04    -0.108393E+02     0.655403E+09     0.119822E+01     0.534236E+06     0.104182E-01
   -0.549033E-14     0.294070E-05    -0.353549E-06    -0.128248E+04    -0.108421E+02     0.655403E+09     0.119757E+01     0.547544E+06     0.104159E-01
   -0.549008E-14     0.294055E-05    -0.353550E-06    -0.128248E+04    -0.108449E+02     0.655403E+09     0.119691E+01     0.560792E+06     0.104135E-01
   -0.548982E-14     0.294039E-05    -0.353551E-06    -0.128248E+04    -0.108477E+02     0.655403E+09     0.119625E+01     0.573980E+06     0.104110E-01
   -0.548957E-14     0.294024E-05    -0.353553E-06    -0.128248E+04    -0.108504E+02     0.655403E+09     0.119558E+01     0.587108E+06     0.104085E-01
   -0.548931E-14     0.294009E-05    -0.353554E-06    -0.128248E+04    -0.108532E+02     0.655403E+09     0.119490E+01     0.600176E+06     0.104060E-01
   -0.548906E-14     0.293994E-05    -0.353555E-06    -0.128248E+04    -0.108560E+02     0.655403E+09     0.119422E+01     0.613183E+06     0.104034E-01
   -0.548881E-14     0.293978E-05    -0.353557E-06    -0.128248E+04    -0.108587E+02     0.655403E+09     0.119353E+01     0.626131E+06     0.104007E-01
   -0.548855E-14     0.293963E-05    -0.353558E-06    -0.128248E+04    -0.108614E+02     0.655403E+09     0.119284E+01     0.639018E+06     0.103980E-01
   -0.548830E-14     0.293948E-05    -0.353559E-06    -0.128248E+04    -0.108642E+02     0.655403E+09     0.119214E+01     0.651845E+06     0.103952E-01
   -0.548804E-14     0.293933E-05    -0.353560E-06    -0.128248E+04    -0.108669E+02     0.655403E+09     0.119143E+01     0.664611E+06     0.103923E-01
   -0.548779E-14     0.293917E-05    -0.353562E-06    -0.128248E+04    -0.108696E+02     0.655403E+09     0.119071E+01     0.677318E+06     0.103894E-01
   -0.548753E-14     0.293902E-05    -0.353563E-06    -0.128248E+04    -0.108723E+02     0.655403E+09     0.118999E+01     0.689964E+06     0.103864E-01
   -0.548728E-14     0.293887E-05    -0.353564E-06    -0.128248E+04    -0.108750E+02     0.655403E+09     0.118926E+01     0.702549E+06     0.103834E-01
   -0.548702E-14     0.293872E-05    -0.353566E-06    -0.128248E+04    -0.108777E+02     0.655403E+09     0.118853E+01     0.715075E+06     0.103802E-01
   -0.548677E-14     0.293856E-05    -0.353567E-06    -0.128248E+04    -0.108804E+02     0.655403E+09     0.118778E+01     0.727540E+06     0.103771E-01
   -0.548652E-14     0.293841E-05    -0.353568E-06    -0.128248E+04    -0.108830E+02     0.655403E+09     0.118704E+01     0.739944E+06     0.103739E-01
   -0.548626E-14     0.293826E-05    -0.353569E-06    -0.128248E+04    -0.108857E+02     0.655403E+09     0.118628E+01     0.752288E+06     0.103706E-01
   -0.548601E-14     0.293810E-05    -0.353571E-06    -0.128248E+04    -0.108883E+02     0.655403E+09     0.118552E+01     0.764572E+06     0.103672E-01
   -0.548575E-14     0.293795E-05    -0.353572E-06    -0.128248E+04    -0.108910E+02     0.655403E+09     0.118475E+01     0.776796E+06     0.103638E-01
   -0.548550E-14     0.293780E-05    -0.353573E-06    -0.128248E+04    -0.108936E+02     0.655403E+09     0.118398E+01     0.788959E+06     0.103604E-01
   -0.548524E-14     0.293765E-05    -0.353575E-06    -0.128248E+04    -0.108963E+02     0.655403E+09     0.118320E+01     0.801062E+06     0.103568E-01
   -0.548499E-14     0.293749E-05    -0.353576E-06    -0.128248E+04    -0.108989E+02     0.655403E+09     0.118241E+01     0.813104E+06     0.103533E-01
   -0.548473E-14     0.293734E-05    -0.353577E-06    -0.128248E+04    -0.109015E+02     0.655403E+09     0.118161E+01     0.825086E+06     0.103496E-01
   -0.548448E-14     0.293719E-05    -0.353579E-06    -0.128248E+04    -0.109041E+02     0.655403E+09     0.118081E+01     0.837008E+06     0.103459E-01
   -0.548423E-14     0.293704E-05    -0.353580E-06    -0.128248E+04    -0.109067E+02     0.655403E+09     0.118001E+01     0.848869E+06     0.103421E-01
   -0.548397E-14     0.293688E-05    -0.353581E-06    -0.128248E+04    -0.109093E+02     0.655403E+09     0.117919E+01     0.860670E+06     0.103383E-01
   -0.548372E-14     0.293673E-05    -0.353582E-06    -0.128248E+04    -0.109119E+02     0.655403E+09     0.117837E+01     0.872411E+06     0.103344E-01
   -0.548346E-14     0.293658E-05    -0.353584E-06    -0.128248E+04    -0.109145E+02     0.655403E+09     0.117755E+01     0.884091E+06     0.103305E-01
   -0.548321E-14     0.293643E-05    -0.353585E-06    -0.128248E+04    -0.109170E+02     0.655403E+09     0.117671E+01     0.895711E+06     0.103264E-01
   -0.548295E-14     0.293627E-05    -0.353586E-06    -0.128248E+04    -0.109196E+02     0.655403E+09     0.117587E+01     0.907271E+06     0.103224E-01
   -0.548270E-14     0.293612E-05    -0.353588E-06    -0.128248E+04    -0.109222E+02     0.655403E+09     0.117503E+01     0.918770E+06     0.103182E-01
   -0.548244E-14     0.293597E-05    -0.353589E-06    -0.128248E+04    -0.109247E+02     0.655403E+09     0.117418E+01     0.930210E+06     0.103140E-01
   -0.548219E-14     0.293581E-05    -0.353590E-06    -0.128248E+04    -0.109272E+02     0.655403E+09     0.117332E+01     0.941588E+06     0.103098E-01
   -0.548194E-14     0.293566E-05    -0.353592E-06    -0.128248E+04    -0.109298E+02     0.655403E+09     0.117245E+01     0.952907E+06     0.103055E-01
   -0.548168E-14     0.293551E-05    -0.353593E-06    -0.128248E+04    -0.109323E+02     0.655403E+09     0.117158E+01     0.964165E+06     0.103011E-01
   -0.548143E-14     0.293536E-05    -0.353594E-06    -0.128248E+04    -0.109348E+02     0.655403E+09     0.117070E+01     0.975364E+06     0.102967E-01
   -0.548117E-14     0.293520E-05    -0.353595E-06    -0.128248E+04    -0.109373E+02     0.655403E+09     0.116981E+01     0.986502E+06     0.102922E-01
   -0.548092E-14     0.293505E-05    -0.353597E-06    -0.128248E+04    -0.109398E+02     0.655403E+09     0.116892E+01     0.997580E+06     0.102876E-01
   -0.548066E-14     0.293490E-05    -0.353598E-06    -0.128248E+04    -0.109423E+02     0.655403E+09     0.116803E+01     0.100860E+07     0.102830E-01
   -0.548041E-14     0.293475E-05    -0.353599E-06    -0.128248E+04    -0.109447E+02     0.655403E+09     0.116712E+01     0.101956E+07     0.102783E-01
   -0.548015E-14     0.293459E-05    -0.353601E-06    -0.128248E+04    -0.109472E+02     0.655403E+09     0.116621E+01     0.103045E+07     0.102736E-01
   -0.547990E-14     0.293444E-05    -0.353602E-06    -0.128248E+04    -0.109497E+02     0.655403E+09     0.116529E+01     0.104129E+07     0.102688E-01
