   50000.000000000007        20809291017.450962        1945140993.7671812     
   150000.00000000003        9253055061.3877945        2659499577.0818410     
   250000.00000000000        6254011468.5926380        3077820208.3766260     
   350000.00000000006        4918255122.8804550        3370947693.3371367     
   450000.00000000006        4090948654.2806950        3610860221.1674294     
   550000.00000000000        3536285306.5860591        3809264217.3673706     
   650000.00000000000        3125890734.3250227        3980390134.1526375     
   750000.00000000000        2811653712.9874005        4129468730.6731663     
   850000.00000000012        2560515115.9934421        4261932964.8436260     
   950000.00000000012        2355016077.5315843        4380467685.9072294     
   1050000.0000000000        2182961256.0330591        4487574729.2572117     
   1150000.0000000000        2036612369.1340606        4585175294.6749134     
   1250000.0000000000        1910344428.6626866        4674637480.4447174     
   1350000.0000000002        1800122923.2505703        4757115949.0233803     
   1450000.0000000000        1702918553.6271765        4833456925.5893984     
   1550000.0000000002        1616496686.7613683        4904416628.9212170     
   1650000.0000000000        1539041930.5243804        4970578705.7937183     
   1750000.0000000002        1469192437.8931890        5032445764.0448065     
   1850000.0000000000        1405817315.1245122        5090465233.5265579     
   1950000.0000000002        1348039207.7001572        5144991787.7300034     
   2050000.0000000002        1295089527.3659322        5196347829.3597479     
   2150000.0000000000        1246383505.4865096        5244793800.5704432     
   2250000.0000000000        1201396330.2385359        5290577334.8087034     
   2350000.0000000005        1159704920.2297809        5333906497.5657501     
   2450000.0000000005        1120948149.7250965        5374987836.6972609     
   2550000.0000000000        1084812096.9816372        5413998861.3167524     
   2650000.0000000000        1051031202.6540498        5451064537.7226639     
   2750000.0000000005        1019367197.9217587        5486323827.8450174     
   2850000.0000000005        989626857.51557457        5519900253.6950588     
   2950000.0000000000        961626724.19727099        5551901474.7599535     
   3050000.0000000005        935214934.66764116        5582418625.5514679     
   3150000.0000000005        910255022.23147154        5611555218.3792171     
   3250000.0000000000        886626261.03364491        5639388635.2504625     
   3350000.0000000000        864220805.37529457        5665988929.8010616     
   3450000.0000000005        842940530.89551151        5691429295.0756617     
   3550000.0000000005        822702855.70289433        5715772718.0552444     
   3650000.0000000000        803427344.45403588        5739080980.2492285     
   3750000.0000000005        785046992.33912861        5761401041.0784969     
   3850000.0000000005        767495496.77322102        5782790791.3092794     
   3950000.0000000005        750719699.96256661        5803290953.9297180     
   4050000.0000000000        734665354.85568738        5822952134.6460056     
   4150000.0000000000        719286073.39376688        5841812018.9741116     
   4250000.0000000000        704538709.17096364        5859907935.7052517     
   4350000.0000000009        690382999.68582034        5877272428.6099339     
   4450000.0000000009        676783781.70197952        5893936242.1467447     
   4550000.0000000009        663706628.99571037        5909935283.5914211     
   4650000.0000000000        651122757.60183203        5925298417.8622446     
   4750000.0000000000        639002679.29540920        5940052649.6810923     
